5420	4
5405	7
5360	20
5330	22
5310	48
5305	57
5295	61
5255	63
5225	73
5185	82
5170	86
5160	92
5150	130
5125	144
5105	150
5090	203
5080	208
5075	214
5070	216
5055	226
5025	233
4990	260
4950	263
4940	267
4925	270
4885	273
4835	276
4785	296
4775	307
4770	309
4740	317
4720	319
4700	328
4670	332
4665	335
4660	345
4610	352
4605	383
4565	390
4535	392
4515	396
4510	411
4495	417
4485	434
4480	466
4475	489
4470	508
4445	532
4430	545
4420	561
4375	568
4335	577
4330	604
4320	610
4270	652
4260	698
4235	751
4225	771
4210
