lop	tiet	GV1001	GV1002	GV1003	GV1004	GV1005	GV1006	GV1007	GV1008	GV1009	GV1010	GV1011	GV1012	GV1013	GV1015	GV1016	GV1017	GV1018	GV1019	GV1020	GV1021	GV1022	GV1023	GV1024	GV1025	GV1026	GV1027	GV1028	GV1029	GV1030	GV1031	GV1032	GV1033	GV1034	GV1035	GV1036	GV1037	GV1038	GV1039	GV1040	GV1041	GV1042	GV1043	GV1044	GV1045	GV1046	GV1047	GV1048	GV1049	GV1051	GV1052	GV1053	GV1056	GV1057	GV1058	GV1059	GV1060	GV1061	GV1062	GV1063	GV1064	GV1065	GV1066	GV1067	GV1068	GV1069	GV1070	GV1071	GV1073	GV1074	GV1075	GVNN01	GVNN02	GVNN03
4	1	Toan - 10E	 - 	Toan - 10C	Toan - 11B	Toan - 12D	Toan - 11N	Toan - 11Q	Toan - 11A	Toan - 10D	Toan - 11E	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 12E	 - 	 - 	Anh - 11G	 - 	Anh - 11D	 - 	Anh - 12B	Anh - 11K	 - 	 - 	 - 	Ly - 10K	CN - 12H	 - 	Ly - 12N	Ly - 11H	 - 	 - 	 - 	 - 	 - 	 - 	Sinh - 11T	CN - 10N	 - 	 - 	 - 	Su - 10G	 - 	 - 	Dia - 12G	Dia - 10A	Dia - 10B	GDCD - 12C	GDCD - 12K	 - 	 - 	TD - 11P	TD - 10H	TD - 11C	 - 	 - 	Tin - 12A	 - 	Tin - 11M	Tin - 12M	 - 	 - 	 - 	 - 	 - 	AVNN - 10M	
4	2	Toan - 10E	 - 	Toan - 10A	Toan - 11B	Toan - 12D	Toan - 11N	Toan - 11Q	Toan - 11A	Toan - 10D	Toan - 11E	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 12E	 - 	 - 	Anh - 11G	 - 	Anh - 11D	 - 	 - 	Anh - 11K	 - 	CN - 12K	 - 	Ly - 10K	 - 	 - 	CN - 12C	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Sinh - 11T	CN - 10C	 - 	 - 	Sinh - 10M	Su - 12B	Su - 12H	Su - 10B	Dia - 12G	Dia - 12N	Dia - 10G	GDCD - 12M	GDCD - 11H	 - 	 - 	TD - 11P	TD - 10H	TD - 11C	 - 	 - 	Tin - 12A	 - 	Tin - 11M	Tin - 10N	 - 	 - 	 - 	 - 	 - 	 - 	
4	3	 - 	 - 	Toan - 10A	Toan - 12A	Toan - 11C	Toan - 11G	Toan - 11K	Toan - 10M	Toan - 11P	Toan - 11H	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 11T	Anh - 11E	Anh - 10G	 - 	 - 	Anh - 10N	Anh - 11N	Ly - 11Q	 - 	 - 	 - 	 - 	CN - 12N	CN - 12M	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Sinh - 10H	Su - 10K	Su - 12G	Su - 10E	Dia - 12K	Dia - 10C	Dia - 10D	GDCD - 12B	GDCD - 12D	 - 	TD - 10B	TD - 11M	TD - 12E	TD - 11D	 - 	 - 	Tin - 12C	 - 	 - 	Tin - 12H	CN - 11A	 - 	 - 	 - 	 - 	AVNN - 11B	
4	4	 - 	 - 	Toan - 12G	Toan - 12M	Toan - 11C	Toan - 11G	Toan - 11K	Toan - 10M	Toan - 11P	Toan - 11H	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 10A	Anh - 11T	Anh - 11E	Anh - 10G	 - 	Anh - 10E	Anh - 10N	Anh - 11N	 - 	 - 	Ly - 11A	 - 	 - 	 - 	CN - 12B	 - 	 - 	 - 	 - 	 - 	 - 	Sinh - 12N	CN - 10K	 - 	Sinh - 12K	 - 	Su - 10D	Su - 12A	Su - 10C	Dia - 12D	Dia - 10H	 - 	 - 	 - 	 - 	TD - 10B	TD - 11M	TD - 12E	TD - 11D	QP - 11B	 - 	Tin - 12C	 - 	 - 	Tin - 12H	CN - 11Q	 - 	 - 	 - 	 - 	 - 	
4	5	Toan - 12N	 - 	Toan - 12G	Toan - 12M	 - 	 - 	 - 	 - 	 - 	Toan - 10N	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 10A	Anh - 12C	Anh - 11C	 - 	 - 	Anh - 12K	 - 	Anh - 10B	CN - 12E	 - 	Ly - 11K	CN - 12D	 - 	Ly - 11B	CN - 12B	 - 	 - 	 - 	 - 	 - 	 - 	Sinh - 12H	CN - 10E	 - 	Sinh - 11Q	Sinh - 10K	Su - 10H	Su - 11E	Su - 11H	Dia - 11A	Dia - 12A	Dia - 11M	GDCD - 10D	GDCD - 11N	 - 	 - 	 - 	 - 	 - 	QP - 11P	 - 	Tin - 11T	Tin - 10C	 - 	Tin - 10M	CN - 11G	 - 	 - 	 - 	AVNN - 11D	AVNN - 10G	
5	1	 - 	Toan - 11D	Toan - 12K	 - 	 - 	 - 	 - 	 - 	Toan - 11M	 - 	Van - 12B	Van - 12D	Van - 10D	 - 	 - 	Van - 10C	 - 	Van - 12C	Van - 10H	 - 	 - 	Anh - 12N	 - 	 - 	Anh - 10M	 - 	Anh - 11A	 - 	 - 	Anh - 11H	 - 	 - 	 - 	 - 	Ly - 10G	 - 	 - 	 - 	 - 	Hoa - 10K	 - 	 - 	 - 	Sinh - 12E	 - 	 - 	 - 	Sinh - 10E	Su - 12M	Su - 11P	Su - 11K	 - 	 - 	 - 	GDCD - 12H	GDCD - 11G	 - 	TD - 10A	TD - 11Q	TD - 12A	TD - 11B	QP - 11C	QP - 10B	Tin - 11T	 - 	Tin - 11E	Tin - 12G	CN - 11N	 - 	 - 	AVNN - 10N	 - 	 - 	
5	2	 - 	Toan - 11D	Toan - 12K	 - 	 - 	Toan - 11T	 - 	 - 	Toan - 11M	 - 	Van - 12B	Van - 12D	Van - 10D	 - 	 - 	Van - 10C	 - 	Van - 12C	Van - 10H	 - 	Anh - 12E	 - 	 - 	 - 	Anh - 10M	 - 	 - 	 - 	 - 	Anh - 11H	Ly - 10E	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Hoa - 10B	 - 	Hoa - 12H	 - 	 - 	 - 	 - 	 - 	Sinh - 10N	Su - 10G	Su - 11C	 - 	Dia - 12M	 - 	 - 	 - 	GDCD - 12N	 - 	TD - 10A	TD - 11Q	TD - 12A	TD - 11B	QP - 11E	QP - 10K	Tin - 11P	 - 	Tin - 11G	Tin - 12G	CN - 11N	 - 	 - 	 - 	AVNN - 11A	AVNN - 11K	
5	3	 - 	Toan - 10K	 - 	 - 	 - 	Toan - 11T	Toan - 12B	 - 	 - 	Toan - 10N	 - 	 - 	 - 	 - 	 - 	 - 	Van - 12A	 - 	 - 	 - 	Anh - 10C	Anh - 10D	 - 	 - 	 - 	 - 	Anh - 12D	 - 	 - 	 - 	 - 	 - 	Ly - 10B	Ly - 12H	Ly - 10A	 - 	 - 	 - 	Hoa - 12M	 - 	 - 	 - 	Hoa - 10H	Sinh - 11H	 - 	Sinh - 12G	Sinh - 11M	 - 	 - 	Su - 11N	Su - 10M	Dia - 11D	 - 	 - 	GDCD - 12E	GDCD - 11C	GDCD - 11B	TD - 10G	TD - 12N	TD - 12C	TD - 11A	QP - 11K	 - 	Tin - 11P	 - 	Tin - 11G	Tin - 12K	CN - 11E	 - 	 - 	AVNN - 11Q	AVNN - 10E	 - 	
5	4	 - 	 - 	 - 	 - 	 - 	 - 	Toan - 12B	 - 	 - 	Toan - 10N	 - 	 - 	 - 	 - 	 - 	 - 	Van - 12A	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 12D	 - 	 - 	 - 	Ly - 12E	Ly - 12G	Ly - 11N	Ly - 11G	 - 	 - 	Ly - 12M	 - 	 - 	Hoa - 11D	Hoa - 12K	Hoa - 10E	Hoa - 11K	Sinh - 11P	 - 	 - 	Sinh - 11C	 - 	Su - 10H	 - 	Su - 11M	Dia - 11B	Dia - 12H	Dia - 11T	GDCD - 10M	GDCD - 11Q	 - 	TD - 10G	TD - 12N	TD - 12C	TD - 11A	QP - 11H	QP - 10A	 - 	Tin - 10B	 - 	Tin - 10K	CN - 11E	 - 	 - 	AVNN - 10D	 - 	AVNN - 10C	
5	5	Toan - 12C	Toan - 10G	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Van - 10M	Van - 12G	 - 	 - 	 - 	 - 	Van - 11P	 - 	 - 	 - 	Anh - 12M	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Ly - 10H	Ly - 10C	Ly - 11K	Ly - 12D	 - 	 - 	 - 	 - 	Hoa - 12E	Hoa - 11M	Hoa - 11Q	Hoa - 12N	Hoa - 11E	 - 	Sinh - 10B	Sinh - 11D	Sinh - 12A	 - 	Su - 12K	Su - 11T	Su - 10A	Dia - 12B	Dia - 12H	Dia - 11N	GDCD - 10E	 - 	GDCD - 10N	 - 	 - 	 - 	 - 	 - 	QP - 10D	 - 	Tin - 11B	Tin - 11C	Tin - 10K	CN - 11A	 - 	 - 	AVNN - 11G	AVNN - 11H	 - 	
